id,channel,message,timestamp,intent,urgency,cluster
1,email,App update installed smoothly.,2025-03-29 06:32:05,suggestion,medium,1
2,social_media,Add a live chat support option.,2025-03-24 14:28:33,suggestion,low,3
3,email,Customer service is not responding to my emails.,2025-03-24 13:25:46,complaint,high,-1
4,website_form,Please add more payment options.,2025-03-29 10:17:49,suggestion,low,4
5,social_media,The delivery was delayed by more than a week.,2025-03-24 06:28:02,complaint,high,5
6,email,"No issues so far, satisfied with the service.",2025-03-28 13:42:44,neutral,medium,0
7,website_form,My payment failed while checking out.,2025-04-01 01:30:07,complaint,high,4
8,email,The app crashes every time I open it.,2025-03-29 08:58:52,complaint,medium,1
9,social_media,Thanks for the quick support.,2025-04-07 11:39:51,suggestion,medium,-1
10,website_form,Your website is very easy to navigate.,2025-04-14 07:23:17,neutral,medium,-1
11,website_form,"Good experience overall, keep it up!",2025-04-17 14:01:32,suggestion,low,0
12,website_form,"Good experience overall, keep it up!",2025-04-13 19:49:33,suggestion,low,0
13,social_media,App update installed smoothly.,2025-03-20 11:18:26,suggestion,medium,1
14,social_media,My payment failed while checking out.,2025-04-10 18:35:47,complaint,high,4
15,social_media,I have not received my order yet.,2025-03-31 11:09:49,complaint,high,6
16,email,Would love to see more color variants.,2025-04-18 09:40:26,suggestion,low,2
17,website_form,Delivery agent was very polite.,2025-04-07 02:37:00,suggestion,high,5
18,email,"Good experience overall, keep it up!",2025-04-12 21:35:05,suggestion,low,0
19,email,Delivery agent was very polite.,2025-03-30 10:51:00,suggestion,high,5
20,website_form,Introduce dark mode in the app.,2025-04-03 14:14:17,suggestion,low,1
21,website_form,Can you provide a loyalty rewards program?,2025-04-09 08:25:51,suggestion,low,-1
22,website_form,There was an error during the signup process.,2025-04-10 04:21:44,complaint,medium,3
23,social_media,The product I received is defective.,2025-03-22 08:39:02,complaint,high,6
24,social_media,Add a live chat support option.,2025-04-15 07:56:31,suggestion,low,3
25,website_form,Refund process is taking too long.,2025-04-12 08:24:41,complaint,high,-1
26,social_media,The delivery was delayed by more than a week.,2025-03-27 18:01:01,complaint,high,5
27,social_media,Delivery agent was very polite.,2025-03-30 12:50:22,suggestion,high,5
28,social_media,Please add more payment options.,2025-04-04 09:03:57,suggestion,low,4
29,website_form,My payment failed while checking out.,2025-03-22 00:54:58,complaint,high,4
30,social_media,Add a live chat support option.,2025-03-29 05:52:24,suggestion,low,3
31,social_media,It would be great to have offline access.,2025-04-07 03:46:00,suggestion,low,-1
32,email,App update installed smoothly.,2025-04-03 10:14:43,suggestion,medium,1
33,email,It would be great to have offline access.,2025-03-22 01:34:29,suggestion,low,-1
34,email,There was an error during the signup process.,2025-03-27 11:08:16,complaint,medium,3
35,website_form,"Good experience overall, keep it up!",2025-03-27 16:20:43,suggestion,low,0
